2026-07-05 22:28:01 | INFO | test | test_phase1:16 | --- Testing config.py ---
2026-07-05 22:29:29 | INFO | test | test_phase1:28 | --- Testing db.py ---
2026-07-05 22:29:30 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:29:30 | INFO | test | test_phase1:36 |   Northwind tables: ['customers', 'dummy', 'employees', 'office', 'orderdetails', 'orders', 'payments', 'productlines', 'products']
2026-07-05 22:29:30 | INFO | db | db:20 | Setting up audit database schema
2026-07-05 22:29:30 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:29:30 | INFO | db | db:40 | Audit database ready
2026-07-05 22:29:30 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:29:30 | INFO | test | test_phase1:47 | ✓ db.py OK
2026-07-05 22:29:30 | INFO | test | test_phase1:51 | --- Testing state.py ---
2026-07-05 22:29:30 | INFO | test | test_phase1:74 | ✓ state.py OK
2026-07-05 22:29:30 | INFO | test | test_phase1:78 | --- Testing nodes/validate.py ---
2026-07-05 22:29:31 | INFO | validate | validate:12 | Validating SQL: SELECT * FROM customers
2026-07-05 22:29:31 | INFO | validate | validate:37 | SQL validation passed
2026-07-05 22:29:31 | INFO | validate | validate:12 | Validating SQL: DROP TABLE customers
2026-07-05 22:29:31 | WARNING | validate | validate:29 | BLOCKED operation detected: DROP
2026-07-05 22:29:31 | INFO | validate | validate:12 | Validating SQL: TRUNCATE TABLE customers
2026-07-05 22:29:31 | WARNING | validate | validate:29 | BLOCKED operation detected: TRUNCATE
2026-07-05 22:29:31 | INFO | validate | validate:12 | Validating SQL: 
2026-07-05 22:29:31 | ERROR | validate | validate:15 | No SQL to validate
2026-07-05 22:29:31 | INFO | test | test_phase1:98 | ✓ nodes/validate.py OK
2026-07-05 22:29:31 | INFO | test | test_phase1:102 | --- Testing nodes/risk.py ---
2026-07-05 22:29:31 | INFO | risk | risk:21 | Operation: SELECT | Risk: SAFE
2026-07-05 22:29:31 | INFO | risk | risk:21 | Operation: UPDATE | Risk: MEDIUM
2026-07-05 22:29:31 | INFO | risk | risk:21 | Operation: DELETE | Risk: HIGH
2026-07-05 22:29:31 | INFO | test | test_phase1:117 | ✓ nodes/risk.py OK
2026-07-05 22:29:31 | INFO | test | test_phase1:121 | --- Testing nodes/error_handler.py ---
2026-07-05 22:29:31 | ERROR | error_handler | error_handler:11 | Error in pipeline | Operation: SELECT | SQL: SELECT * FROM fake_table | Error: Table not found
2026-07-05 22:29:31 | INFO | test | test_phase1:130 | ✓ nodes/error_handler.py OK
2026-07-05 22:29:31 | INFO | test | test_phase1:134 | --- Testing nodes/execute.py (read query) ---
2026-07-05 22:29:35 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:29:35 | INFO | execute | execute:56 | Executing SQL: SELECT COUNT(*) FROM customers
2026-07-05 22:29:36 | INFO | execute | execute:69 | Execution complete in 4ms
2026-07-05 22:29:36 | INFO | test | test_phase1:144 |   Query result: [(122,)]
2026-07-05 22:29:36 | INFO | test | test_phase1:145 | ✓ nodes/execute.py OK
2026-07-05 22:36:59 | INFO | test_llm | test_llm:15 | --- Testing classify node ---
2026-07-05 22:37:19 | INFO | classify | classify:20 | Classifying question: Show me all customers from Germany
2026-07-05 22:37:22 | INFO | classify | classify:31 | Classification result: SELECT
2026-07-05 22:37:22 | INFO | classify | classify:20 | Classifying question: Update the price of product 5 to 25.00
2026-07-05 22:37:22 | INFO | classify | classify:31 | Classification result: UPDATE
2026-07-05 22:37:22 | INFO | classify | classify:20 | Classifying question: Remove all orders from 2020
2026-07-05 22:37:22 | INFO | classify | classify:31 | Classification result: DELETE
2026-07-05 22:37:22 | INFO | test_llm | test_llm:33 | ✓ classify node OK
2026-07-05 22:37:22 | INFO | test_llm | test_llm:37 | --- Testing generate_sql node ---
2026-07-05 22:37:23 | INFO | generate_sql | generate_sql:20 | Generating SQL for: How many customers are there?
2026-07-05 22:37:23 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:37:24 | INFO | generate_sql | generate_sql:38 | Generated SQL: SELECT COUNT(*) FROM customers;
2026-07-05 22:37:24 | INFO | test_llm | test_llm:50 | ✓ generate_sql node OK
2026-07-05 22:37:24 | INFO | test_llm | test_llm:54 | --- Testing summarize node ---
2026-07-05 22:37:24 | INFO | summarize | summarize:32 | Generating natural language summary
2026-07-05 22:37:25 | INFO | summarize | summarize:37 | Summary generated: There are 122 customers. That's quite a good number of customers! If you need to know more about any...
2026-07-05 22:37:25 | INFO | test_llm | test_llm:69 | ✓ summarize node OK
2026-07-05 22:37:25 | INFO | test_llm | test_llm:73 | --- Testing full READ flow (classify → generate → execute → summarize) ---
2026-07-05 22:37:25 | INFO | classify | classify:20 | Classifying question: Show me top 5 customers by name
2026-07-05 22:37:25 | INFO | classify | classify:31 | Classification result: SELECT
2026-07-05 22:37:25 | INFO | generate_sql | generate_sql:20 | Generating SQL for: Show me top 5 customers by name
2026-07-05 22:37:25 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:37:26 | INFO | generate_sql | generate_sql:38 | Generated SQL: SELECT customerName FROM customers ORDER BY customerName LIMIT 5
2026-07-05 22:37:26 | INFO | validate | validate:12 | Validating SQL: SELECT customerName FROM customers ORDER BY customerName LIMIT 5
2026-07-05 22:37:26 | INFO | validate | validate:37 | SQL validation passed
2026-07-05 22:37:26 | INFO | risk | risk:21 | Operation: SELECT | Risk: SAFE
2026-07-05 22:37:26 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:37:26 | INFO | execute | execute:56 | Executing SQL: SELECT customerName FROM customers ORDER BY customerName LIMIT 5
2026-07-05 22:37:26 | INFO | execute | execute:69 | Execution complete in 4ms
2026-07-05 22:37:26 | INFO | summarize | summarize:32 | Generating natural language summary
2026-07-05 22:37:27 | INFO | summarize | summarize:37 | Summary generated: Sure! The top 5 customers by name are:

1. ANG Resellers
2. AV Stores, Co.
3. Alpha Cognac
4. Americ...
2026-07-05 22:37:27 | INFO | test_llm | test_llm:107 | ✓ Full READ flow OK
2026-07-05 22:39:39 | INFO | db | db:20 | Setting up audit database schema
2026-07-05 22:39:39 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:39:39 | INFO | db | db:40 | Audit database ready
2026-07-05 22:39:39 | INFO | test_tools | test_phase3:19 | --- Testing tools/schema.py ---
2026-07-05 22:39:39 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:39:39 | INFO | tools.schema | schema:11 | Listed tables: ['customers', 'dummy', 'employees', 'office', 'orderdetails', 'orders', 'payments', 'productlines', 'products']
2026-07-05 22:39:39 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:39:39 | INFO | tools.schema | schema:23 | Retrieved schema for: customers
2026-07-05 22:39:39 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:39:39 | INFO | tools.schema | schema:31 | Described table: orders
2026-07-05 22:39:39 | INFO | test_tools | test_phase3:34 | ✓ tools/schema.py OK
2026-07-05 22:39:39 | INFO | test_tools | test_phase3:38 | --- Testing tools/query.py ---
2026-07-05 22:39:55 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:39:56 | INFO | tools.query | query:22 | Query executed: SELECT COUNT(*) FROM products
2026-07-05 22:39:56 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:39:56 | WARNING | tools.query | query:17 | query_database called with non-SELECT: DELETE FROM products
2026-07-05 22:39:56 | INFO | tools.query | query:39 | Explained query: SELECT customerName FROM customers WHERE country =
2026-07-05 22:39:56 | INFO | test_tools | test_phase3:56 | ✓ tools/query.py OK
2026-07-05 22:39:56 | INFO | test_tools | test_phase3:60 | --- Testing tools/write.py ---
2026-07-05 22:39:56 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:39:57 | INFO | tools.write | write:28 | Preview: 38 rows would be affected by: UPDATE products SET buyPrice = buyPrice * 1.05 WHERE product
2026-07-05 22:39:57 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:39:57 | INFO | tools.write | write:28 | Preview: 6 rows would be affected by: DELETE FROM orders WHERE status = 'Cancelled'
2026-07-05 22:39:57 | INFO | test_tools | test_phase3:72 | ✓ tools/write.py OK
2026-07-05 22:39:57 | INFO | test_tools | test_phase3:76 | --- Testing tools/approval.py ---
2026-07-05 22:39:57 | INFO | tools.approval | approval:10 | Operation approved by admin, token: token-123
2026-07-05 22:39:57 | INFO | tools.approval | approval:21 | Operation rejected by admin, reason: too risky
2026-07-05 22:39:57 | WARNING | tools.approval | approval:35 | Approval expired after 400s (limit: 300s)
2026-07-05 22:39:57 | INFO | test_tools | test_phase3:95 | ✓ tools/approval.py OK
2026-07-05 22:39:57 | INFO | test_tools | test_phase3:99 | --- Testing tools/audit.py ---
2026-07-05 22:39:57 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:39:57 | INFO | tools.audit | audit:34 | Audit logged: SELECT | SUCCESS | How many products?
2026-07-05 22:39:57 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:39:57 | INFO | tools.audit | audit:52 | Retrieved 1 audit records
2026-07-05 22:39:57 | INFO | test_tools | test_phase3:120 | ✓ tools/audit.py OK
2026-07-05 22:39:57 | INFO | test_tools | test_phase3:124 | --- Testing tools/rollback.py ---
2026-07-05 22:39:57 | WARNING | tools.rollback | rollback:11 | No connection provided for rollback
2026-07-05 22:39:57 | ERROR | tools.rollback | rollback:35 | Execution failed, rolled back: no such table: fake_table
2026-07-05 22:39:57 | INFO | test_tools | test_phase3:138 | ✓ tools/rollback.py OK
2026-07-05 22:41:24 | INFO | db | db:20 | Setting up audit database schema
2026-07-05 22:41:24 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:41:24 | INFO | db | db:40 | Audit database ready
2026-07-05 22:41:24 | INFO | test_graph | test_phase4:19 | --- Testing READ flow (no approval needed) ---
2026-07-05 22:41:43 | INFO | graph | graph:68 | Building LangGraph agent
2026-07-05 22:41:43 | INFO | graph | graph:117 | Graph compiled successfully
2026-07-05 22:41:44 | INFO | classify | classify:20 | Classifying question: How many customers are there?
2026-07-05 22:41:44 | INFO | classify | classify:31 | Classification result: SELECT
2026-07-05 22:41:44 | INFO | generate_sql | generate_sql:20 | Generating SQL for: How many customers are there?
2026-07-05 22:41:44 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:41:45 | INFO | generate_sql | generate_sql:38 | Generated SQL: SELECT COUNT(customerNumber) FROM customers;
2026-07-05 22:41:45 | INFO | validate | validate:12 | Validating SQL: SELECT COUNT(customerNumber) FROM customers;
2026-07-05 22:41:45 | INFO | validate | validate:37 | SQL validation passed
2026-07-05 22:41:45 | INFO | risk | risk:21 | Operation: SELECT | Risk: SAFE
2026-07-05 22:41:45 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:41:45 | INFO | execute | execute:56 | Executing SQL: SELECT COUNT(customerNumber) FROM customers;
2026-07-05 22:41:45 | INFO | execute | execute:69 | Execution complete in 2ms
2026-07-05 22:41:45 | INFO | summarize | summarize:32 | Generating natural language summary
2026-07-05 22:41:45 | INFO | summarize | summarize:37 | Summary generated: There are 122 customers in total. That's quite a lot! It seems like your business has quite an engag...
2026-07-05 22:41:45 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:41:45 | INFO | tools.audit | audit:34 | Audit logged: SELECT | SUCCESS | How many customers are there?
2026-07-05 22:41:45 | INFO | test_graph | test_phase4:42 | ✓ READ flow OK
2026-07-05 22:41:45 | INFO | test_graph | test_phase4:47 | --- Testing BLOCKED flow ---
2026-07-05 22:41:45 | INFO | classify | classify:20 | Classifying question: Drop the customers table
2026-07-05 22:41:45 | INFO | classify | classify:31 | Classification result: DDL
2026-07-05 22:41:45 | INFO | generate_sql | generate_sql:20 | Generating SQL for: Drop the customers table
2026-07-05 22:41:45 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:41:46 | INFO | generate_sql | generate_sql:38 | Generated SQL: DROP TABLE customers;
2026-07-05 22:41:46 | INFO | validate | validate:12 | Validating SQL: DROP TABLE customers;
2026-07-05 22:41:46 | WARNING | validate | validate:29 | BLOCKED operation detected: DROP
2026-07-05 22:41:46 | ERROR | error_handler | error_handler:11 | Error in pipeline | Operation: DROP | SQL: DROP TABLE customers; | Error: DROP operations are blocked
2026-07-05 22:41:46 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:41:46 | INFO | tools.audit | audit:34 | Audit logged: DROP | ERROR | Drop the customers table
2026-07-05 22:41:46 | INFO | test_graph | test_phase4:66 | ✓ BLOCKED flow OK
2026-07-05 22:41:46 | INFO | test_graph | test_phase4:71 | --- Testing WRITE flow with approval (interrupt/resume) ---
2026-07-05 22:41:46 | INFO | classify | classify:20 | Classifying question: Update all cancelled orders status to Archived
2026-07-05 22:41:46 | INFO | classify | classify:31 | Classification result: UPDATE
2026-07-05 22:41:46 | INFO | generate_sql | generate_sql:20 | Generating SQL for: Update all cancelled orders status to Archived
2026-07-05 22:41:46 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:41:47 | INFO | generate_sql | generate_sql:38 | Generated SQL: UPDATE orders SET status = 'Archived' WHERE status = 'Cancelled';
2026-07-05 22:41:47 | INFO | validate | validate:12 | Validating SQL: UPDATE orders SET status = 'Archived' WHERE status = 'Cancelled';
2026-07-05 22:41:47 | INFO | validate | validate:37 | SQL validation passed
2026-07-05 22:41:47 | INFO | risk | risk:21 | Operation: UPDATE | Risk: MEDIUM
2026-07-05 22:41:47 | INFO | approval | approval:15 | Requesting approval for MEDIUM risk operation
2026-07-05 22:41:47 | INFO | approval | approval:15 | Requesting approval for MEDIUM risk operation
2026-07-05 22:41:47 | INFO | approval | approval:36 | Operation approved by test_admin, token: f7379f0c-e05d-423c-8829-7a78626410e4
2026-07-05 22:41:47 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:41:47 | INFO | execute | execute:47 | Dry run result: [(6,)] rows affected
2026-07-05 22:41:47 | INFO | execute | execute:56 | Executing SQL: UPDATE orders SET status = 'Archived' WHERE status = 'Cancelled';
2026-07-05 22:41:47 | INFO | execute | execute:69 | Execution complete in 10ms
2026-07-05 22:41:47 | INFO | summarize | summarize:32 | Generating natural language summary
2026-07-05 22:41:48 | INFO | summarize | summarize:37 | Summary generated: All the orders that were previously marked as "Cancelled" have now been updated to "Archived". This ...
2026-07-05 22:41:48 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:41:48 | INFO | tools.audit | audit:34 | Audit logged: UPDATE | SUCCESS | Update all cancelled orders status to Archived
2026-07-05 22:41:48 | INFO | test_graph | test_phase4:120 | ✓ WRITE flow OK
2026-07-05 22:42:57 | INFO | graph | graph:68 | Building LangGraph agent
2026-07-05 22:42:57 | INFO | graph | graph:117 | Graph compiled successfully
2026-07-05 22:45:51 | INFO | graph | graph:68 | Building LangGraph agent
2026-07-05 22:45:51 | INFO | graph | graph:117 | Graph compiled successfully
2026-07-05 22:50:06 | INFO | test_server | test_phase5:15 | --- Testing get_tables ---
2026-07-05 22:50:39 | INFO | graph | graph:68 | Building LangGraph agent
2026-07-05 22:50:40 | INFO | graph | graph:117 | Graph compiled successfully
2026-07-05 22:50:40 | INFO | db | db:20 | Setting up audit database schema
2026-07-05 22:50:40 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:50:40 | INFO | db | db:40 | Audit database ready
2026-07-05 22:50:40 | INFO | server | server:149 | get_tables called
2026-07-05 22:50:40 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:50:40 | INFO | tools.schema | schema:11 | Listed tables: ['customers', 'dummy', 'employees', 'office', 'orderdetails', 'orders', 'payments', 'productlines', 'products']
2026-07-05 22:50:40 | INFO | test_server | test_phase5:20 | ✓ get_tables OK
2026-07-05 22:50:40 | INFO | test_server | test_phase5:24 | --- Testing get_database_schema ---
2026-07-05 22:50:40 | INFO | server | server:140 | get_database_schema called: customers
2026-07-05 22:50:40 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:50:40 | INFO | tools.schema | schema:23 | Retrieved schema for: customers
2026-07-05 22:50:40 | INFO | test_server | test_phase5:29 | ✓ get_database_schema OK
2026-07-05 22:50:40 | INFO | test_server | test_phase5:33 | --- Testing describe_database_table ---
2026-07-05 22:50:40 | INFO | server | server:157 | describe_database_table called: orders
2026-07-05 22:50:40 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:50:40 | INFO | tools.schema | schema:31 | Described table: orders
2026-07-05 22:50:40 | INFO | test_server | test_phase5:38 | ✓ describe_database_table OK
2026-07-05 22:50:40 | INFO | test_server | test_phase5:42 | --- Testing run_read_query ---
2026-07-05 22:50:40 | INFO | server | server:164 | run_read_query called: SELECT COUNT(*) FROM products
2026-07-05 22:50:40 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:50:40 | INFO | tools.query | query:22 | Query executed: SELECT COUNT(*) FROM products
2026-07-05 22:50:40 | INFO | test_server | test_phase5:47 | ✓ run_read_query OK
2026-07-05 22:50:40 | INFO | test_server | test_phase5:51 | --- Testing explain_sql ---
2026-07-05 22:50:40 | INFO | server | server:171 | explain_sql called: SELECT customerName FROM customers WHERE country = 'France'
2026-07-05 22:50:43 | INFO | tools.query | query:39 | Explained query: SELECT customerName FROM customers WHERE country =
2026-07-05 22:50:43 | INFO | test_server | test_phase5:56 | ✓ explain_sql OK
2026-07-05 22:50:43 | INFO | test_server | test_phase5:60 | --- Testing preview_write_operation ---
2026-07-05 22:50:43 | INFO | server | server:178 | preview_write_operation called: UPDATE products SET buyPrice = buyPrice * 1.1 WHERE productLine = 'Ships'
2026-07-05 22:50:43 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:50:44 | INFO | tools.write | write:28 | Preview: 9 rows would be affected by: UPDATE products SET buyPrice = buyPrice * 1.1 WHERE productL
2026-07-05 22:50:44 | INFO | test_server | test_phase5:65 | ✓ preview_write_operation OK
2026-07-05 22:50:44 | INFO | test_server | test_phase5:69 | --- Testing ask_database (READ) ---
2026-07-05 22:50:44 | INFO | server | server:58 | ask_database called: How many orders are there?
2026-07-05 22:50:44 | INFO | classify | classify:20 | Classifying question: How many orders are there?
2026-07-05 22:50:44 | INFO | classify | classify:31 | Classification result: SELECT
2026-07-05 22:50:44 | INFO | generate_sql | generate_sql:20 | Generating SQL for: How many orders are there?
2026-07-05 22:50:44 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:50:45 | INFO | generate_sql | generate_sql:38 | Generated SQL: SELECT COUNT(orderNumber) FROM orders
2026-07-05 22:50:45 | INFO | validate | validate:12 | Validating SQL: SELECT COUNT(orderNumber) FROM orders
2026-07-05 22:50:45 | INFO | validate | validate:37 | SQL validation passed
2026-07-05 22:50:45 | INFO | risk | risk:21 | Operation: SELECT | Risk: SAFE
2026-07-05 22:50:45 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:50:45 | INFO | execute | execute:56 | Executing SQL: SELECT COUNT(orderNumber) FROM orders
2026-07-05 22:50:45 | INFO | execute | execute:69 | Execution complete in 4ms
2026-07-05 22:50:45 | INFO | summarize | summarize:32 | Generating natural language summary
2026-07-05 22:50:45 | INFO | summarize | summarize:37 | Summary generated: There are 326 orders in total. That's quite a lot of transactions!...
2026-07-05 22:50:45 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:50:45 | INFO | tools.audit | audit:34 | Audit logged: SELECT | SUCCESS | How many orders are there?
2026-07-05 22:50:45 | INFO | test_server | test_phase5:75 | ✓ ask_database (READ) OK
2026-07-05 22:50:45 | INFO | test_server | test_phase5:79 | --- Testing ask_database (WRITE - needs approval) ---
2026-07-05 22:50:45 | INFO | server | server:58 | ask_database called: Delete all cancelled orders
2026-07-05 22:50:45 | INFO | classify | classify:20 | Classifying question: Delete all cancelled orders
2026-07-05 22:50:45 | INFO | classify | classify:31 | Classification result: DELETE
2026-07-05 22:50:45 | INFO | generate_sql | generate_sql:20 | Generating SQL for: Delete all cancelled orders
2026-07-05 22:50:45 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:50:46 | INFO | generate_sql | generate_sql:38 | Generated SQL: DELETE FROM orders WHERE status = 'Cancelled';
2026-07-05 22:50:46 | INFO | validate | validate:12 | Validating SQL: DELETE FROM orders WHERE status = 'Cancelled';
2026-07-05 22:50:46 | INFO | validate | validate:37 | SQL validation passed
2026-07-05 22:50:46 | INFO | risk | risk:21 | Operation: DELETE | Risk: HIGH
2026-07-05 22:50:46 | INFO | approval | approval:15 | Requesting approval for HIGH risk operation
2026-07-05 22:50:46 | INFO | server | server:104 | approve_operation called: thread=mcp-thread-2, by=test_admin
2026-07-05 22:50:46 | INFO | approval | approval:15 | Requesting approval for HIGH risk operation
2026-07-05 22:50:46 | INFO | approval | approval:36 | Operation approved by test_admin, token: 9adbf34b-16be-4f9e-b5a2-0940aa3d840c
2026-07-05 22:50:46 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:50:46 | INFO | execute | execute:47 | Dry run result: [(0,)] rows affected
2026-07-05 22:50:46 | INFO | execute | execute:56 | Executing SQL: DELETE FROM orders WHERE status = 'Cancelled';
2026-07-05 22:50:46 | INFO | execute | execute:69 | Execution complete in 1ms
2026-07-05 22:50:46 | INFO | summarize | summarize:32 | Generating natural language summary
2026-07-05 22:50:47 | INFO | summarize | summarize:37 | Summary generated: All cancelled orders have been successfully removed from the system. If you need to verify that they...
2026-07-05 22:50:47 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:50:47 | INFO | tools.audit | audit:34 | Audit logged: DELETE | SUCCESS | Delete all cancelled orders
2026-07-05 22:50:47 | INFO | test_server | test_phase5:93 | ✓ ask_database (WRITE + approval) OK
2026-07-05 22:50:47 | INFO | test_server | test_phase5:100 | --- Testing ask_database (BLOCKED) ---
2026-07-05 22:50:47 | INFO | server | server:58 | ask_database called: Drop the products table
2026-07-05 22:50:47 | INFO | classify | classify:20 | Classifying question: Drop the products table
2026-07-05 22:50:47 | INFO | classify | classify:31 | Classification result: DDL
2026-07-05 22:50:47 | INFO | generate_sql | generate_sql:20 | Generating SQL for: Drop the products table
2026-07-05 22:50:47 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:50:48 | INFO | generate_sql | generate_sql:38 | Generated SQL: DROP TABLE products;
2026-07-05 22:50:48 | INFO | validate | validate:12 | Validating SQL: DROP TABLE products;
2026-07-05 22:50:48 | WARNING | validate | validate:29 | BLOCKED operation detected: DROP
2026-07-05 22:50:48 | ERROR | error_handler | error_handler:11 | Error in pipeline | Operation: DROP | SQL: DROP TABLE products; | Error: DROP operations are blocked
2026-07-05 22:50:48 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:50:48 | INFO | tools.audit | audit:34 | Audit logged: DROP | ERROR | Drop the products table
2026-07-05 22:50:48 | INFO | test_server | test_phase5:105 | ✓ ask_database (BLOCKED) OK
2026-07-05 22:50:48 | INFO | test_server | test_phase5:109 | --- Testing get_audit_logs ---
2026-07-05 22:50:48 | INFO | server | server:193 | get_audit_logs called: limit=5
2026-07-05 22:50:48 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:50:48 | INFO | tools.audit | audit:52 | Retrieved 5 audit records
2026-07-05 22:50:48 | INFO | test_server | test_phase5:114 | ✓ get_audit_logs OK
2026-07-05 22:53:42 | INFO | app | app:430 | SQL AI Agent v1.0.0 starting | mode=cli
2026-07-05 22:53:42 | INFO | db | db:10 | Connecting to Northwind database
2026-07-05 22:53:42 | INFO | db | db:20 | Setting up audit database schema
2026-07-05 22:53:42 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:53:42 | INFO | db | db:40 | Audit database ready
2026-07-05 22:54:00 | INFO | graph | graph:68 | Building LangGraph agent
2026-07-05 22:54:00 | INFO | graph | graph:117 | Graph compiled successfully
2026-07-05 22:56:15 | INFO | app | app:430 | SQL AI Agent v1.0.0 starting | mode=mcp
2026-07-05 22:56:15 | INFO | db | db:20 | Setting up audit database schema
2026-07-05 22:56:15 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:56:15 | INFO | db | db:40 | Audit database ready
2026-07-05 22:56:15 | INFO | app | app:387 | Starting MCP server mode
2026-07-05 22:56:47 | INFO | graph | graph:68 | Building LangGraph agent
2026-07-05 22:56:48 | INFO | graph | graph:117 | Graph compiled successfully
2026-07-05 22:56:48 | INFO | db | db:20 | Setting up audit database schema
2026-07-05 22:56:48 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:56:48 | INFO | db | db:40 | Audit database ready
2026-07-05 22:58:51 | INFO | app | app:430 | SQL AI Agent v1.0.0 starting | mode=cli
2026-07-05 22:58:51 | INFO | db | db:20 | Setting up audit database schema
2026-07-05 22:58:51 | INFO | db | db:15 | Connecting to Audit database
2026-07-05 22:58:51 | INFO | db | db:40 | Audit database ready
2026-07-05 22:59:11 | INFO | graph | graph:68 | Building LangGraph agent
2026-07-05 22:59:11 | INFO | graph | graph:117 | Graph compiled successfully
2026-07-05 22:59:11 | INFO | app | app:155 | SQL Agent initialized
2026-07-05 23:00:04 | INFO | classify | classify:20 | Classifying question: Find products priced between 20 and 50
2026-07-05 23:00:07 | INFO | classify | classify:31 | Classification result: SELECT
2026-07-05 23:00:07 | INFO | generate_sql | generate_sql:20 | Generating SQL for: Find products priced between 20 and 50
2026-07-05 23:00:07 | INFO | db | db:10 | Connecting to Northwind database
